,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
23," Senamiestis, J. Basanavičiaus g., 2 kambarių butas",www.aruodas.lt/1-2960323,107000,46.54,174,2021-03-30,2021-04-06,1,2,4,4,1940,Mūrinis,Elektra,Įrengtas,Sena statyba,Senamiestis,2299.0975504941985
24," Fabijoniškės, S. Stanevičiaus g., 3 kambarių butas",www.aruodas.lt/1-3019087,82000,67.0,22,2021-04-05,2021-04-07,1,3,5,5,1988,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1223.8805970149253
25," Naujininkai, Šaltkalvių g., 3 kambarių butas",www.aruodas.lt/1-3017703,108500,68.0,18,2021-04-01,2021-04-07,1,3,5,5,1975,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1595.5882352941176
26," Pilaitė, Nidos g., 2 kambarių butas",www.aruodas.lt/1-3018701,98000,40.17,12,2021-04-03,2021-04-06,1,2,9,9,2015,Mūrinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,2439.631565845158
27," Justiniškės, Mozūriškių g., 3 kambarių butas",www.aruodas.lt/1-3014781,109548,65.0,25,2021-03-24,2021-04-07,1,3,3,3,2021,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1685.3538461538462
28," Pašilaičiai, Budiniškių g., 2 kambarių butas",www.aruodas.lt/1-3000789,69800,42.79,42,2021-02-17,2021-04-06,1,2,3,6,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pašilaičiai,1631.222248188829
29," Šnipiškės, Linkmenų g., 2 kambarių butas",www.aruodas.lt/1-2955067,95643,39.67,61,2021-03-30,2021-04-06,1,2,4,6,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2410.9654650869675
30," Pašilaičiai, Budiniškių g., 2 kambarių butas",www.aruodas.lt/1-2968629,69800,42.79,48,2021-04-06,2021-04-06,1,2,3,6,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pašilaičiai,1631.222248188829
31," Pilaitė, Bitėnų g., 2 kambarių butas",www.aruodas.lt/1-3011645,119000,54.27,16,2021-03-16,2021-04-06,0,2,4,6,2018,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,2192.7400036852773
32," Žirmūnai, Tuskulėnų g., 3 kambarių butas",www.aruodas.lt/1-3020143,114900,64.02,29,2021-04-07,2021-04-07,1,3,7,9,1968,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1794.7516401124649
33," Karoliniškės, Loretos Asanavičiūtės g., 3 kambarių butas",www.aruodas.lt/1-3019601,89000,63.7,44,2021-04-06,2021-04-07,1,3,5,9,1972,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1397.1742543171115
