,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
310," Šnipiškės, Linkmenų g., 2 kambarių butas",www.aruodas.lt/1-2996721,122400,51.05,43,2021-02-05,2021-04-06,0,2,7,7,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2397.6493633692457
311," Šeškinė, Šeškinės g., 2 kambarių butas",www.aruodas.lt/1-3019705,75000,50.0,22,2021-04-06,2021-04-07,0,2,7,9,1981,Blokinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1500.0
312," Aukštieji Paneriai, Kirtimų g., 2 kambarių butas",www.aruodas.lt/1-2996685,50000,42.0,66,2021-03-26,2021-04-06,0,2,2,2,1960,Mūrinis,Centrinis,Įrengtas,Sena statyba,Aukštieji Paneriai,1190.4761904761904
313," Karoliniškės, Sausio 13-osios g., 3 kambarių butas",www.aruodas.lt/1-3019603,98000,63.6,10,2021-04-06,2021-04-06,0,3,6,9,1971,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1540.880503144654
314," Žirmūnai, Žirmūnų g., 2 kambarių butas",www.aruodas.lt/1-3019569,79900,44.5,46,2021-04-06,2021-04-07,0,2,3,5,1964,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1795.5056179775281
315," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3019477,65000,44.45,11,2021-04-06,2021-04-06,1,2,4,5,1964,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1462.3172103487063
316," Naujoji Vilnia, Parko g., 2 kambarių butas",www.aruodas.lt/1-3007913,71999,53.0,5,2021-03-07,2021-03-08,0,2,4,10,1977,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1358.4716981132076
317," Žvėrynas, Kęstučio g., 2 kambarių butas",www.aruodas.lt/1-3019377,51000,37.43,12,2021-04-06,2021-04-07,1,2,1,2,1940,Medinis,Dujinis,Įrengtas,Sena statyba,Žvėrynas,1362.5434143734972
318," Salininkai, Salininkų g., 3 kambarių butas",www.aruodas.lt/1-3007887,68000,57.18,5,2021-03-07,2021-03-08,0,3,3,3,1968,Mūrinis,Centrinis,Įrengtas,Sena statyba,Salininkai,1189.2270024484085
319," Pilaitė, Vydūno g., 2 kambarių butas",www.aruodas.lt/1-3019163,91000,50.0,11,2021-04-05,2021-04-05,0,2,7,9,1994,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1820.0
320," Naujamiestis, Naugarduko g., 3 kambarių butas",www.aruodas.lt/1-3007787,136000,54.93,48,2021-03-06,2021-03-07,0,3,7,7,2020,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2475.878390679046
321," Šeškinė, Šeškinės g., 2 kambarių butas",www.aruodas.lt/1-3007703,75000,52.38,18,2021-03-06,2021-03-16,0,2,7,12,1985,Monolitinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1431.84421534937
322," Pilaitė, I. Simonaitytės g., 2 kambarių butas",www.aruodas.lt/1-3007663,116000,57.5,11,2021-03-06,2021-03-16,0,2,3,4,2009,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pilaitė,2017.391304347826
323," Justiniškės, Taikos g., 2 kambarių butas",www.aruodas.lt/1-3007207,73000,52.08,48,2021-03-05,2021-04-07,0,2,5,9,1983,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1401.689708141321
324," Karoliniškės, Vido Maciulevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3018819,76000,54.6,20,2021-04-04,2021-04-04,0,2,7,9,1972,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1391.9413919413919
325," Šeškinė, Buivydiškių g., 2 kambarių butas",www.aruodas.lt/1-3018787,80000,44.0,9,2021-04-03,2021-04-03,0,2,3,12,1992,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1818.1818181818182
326," Kalnėnai, Ašmenėlės g., 2 kambarių butas",www.aruodas.lt/1-3018759,118800,55.27,21,2021-04-03,2021-04-04,0,2,1,2,2016,Mūrinis,Geoterminis,Įrengtas,Sena statyba,Kalnėnai,2149.4481635607017
327," Karoliniškės, Sausio 13-osios g., 2 kambarių butas",www.aruodas.lt/1-2994163,104999,50.35,11,2021-02-01,2021-04-03,0,2,6,7,2016,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Karoliniškės,2085.382323733863
328," Pašilaičiai, Laisvės pr., 2 kambarių butas",www.aruodas.lt/1-3018301,78000,55.8,56,2021-04-02,2021-04-02,0,2,5,5,1997,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1397.8494623655915
329," Justiniškės, Taikos g., 2 kambarių butas",www.aruodas.lt/1-3018297,79000,50.0,19,2021-04-07,2021-04-07,0,2,4,5,1984,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1580.0
330," Fabijoniškės, Visorių g., 2 kambarių butas",www.aruodas.lt/1-3017861,120000,54.0,18,2021-04-01,2021-04-06,0,2,2,5,2005,Mūrinis,"Centrinis, elektra",Įrengtas,Sena statyba,Fabijoniškės,2222.222222222222
331," Naujininkai, Dariaus ir Girėno g., 2 kambarių butas",www.aruodas.lt/1-2956707,59000,42.0,57,2020-10-15,2021-03-17,0,2,3,4,1970,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1404.7619047619048
332," Šeškinė, Dūkštų g., 3 kambarių butas",www.aruodas.lt/1-3005843,86000,65.0,60,2021-03-10,2021-03-22,1,3,4,9,1980,Blokinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1323.076923076923
333," Pašilaičiai, Gabijos g., 3 kambarių butas",www.aruodas.lt/1-3017581,93000,66.7,9,2021-03-31,2021-04-06,0,3,7,9,1987,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1394.302848575712
334," Fabijoniškės, S. Stanevičiaus g., 3 kambarių butas",www.aruodas.lt/1-3004911,99000,66.89,47,2021-02-28,2021-04-03,0,3,3,7,1996,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1480.0418597697712
335," Pilaitė, I. Simonaitytės g., 3 kambarių butas",www.aruodas.lt/1-3017073,139000,65.8,23,2021-03-30,2021-04-07,0,3,2,4,2015,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pilaitė,2112.4620060790276
336," Šnipiškės, Apkasų g., 2 kambarių butas",www.aruodas.lt/1-2366847,86999,45.0,29,2021-01-29,2021-04-06,0,2,1,5,1964,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1933.3111111111111
337," Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių butas",www.aruodas.lt/1-3016665,73000,47.0,27,2021-03-29,2021-03-29,0,2,3,5,1975,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1553.1914893617022
338," Naujoji Vilnia, Parko g., 2 kambarių butas",www.aruodas.lt/1-2993077,64300,38.96,9,2021-01-28,2021-04-01,0,2,1,5,1962,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1650.4106776180697
339," Bajorai, Bajorų kel., 2 kambarių butas",www.aruodas.lt/1-3016271,115000,49.15,23,2021-03-28,2021-04-02,0,2,1,6,2012,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Bajorai,2339.7761953204476
340," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3016131,112000,54.4,38,2021-03-28,2021-03-30,0,2,3,4,2020,Mūrinis,"Centrinis, centrinis kolektorinis",Įrengtas,Nauja statyba,Lazdynėliai,2058.823529411765
341," Naujamiestis, Algirdo g., 2 kambarių butas",www.aruodas.lt/1-2992687,103600,53.47,85,2021-01-27,2021-02-20,0,2,2,7,2020,Mūrinis,Centrinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,1937.5350663923696
342," Šnipiškės, Lvovo g., 2 kambarių butas",www.aruodas.lt/1-3003647,65000,35.2,15,2021-02-25,2021-02-25,0,2,1,3,1940,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1846.590909090909
343," Žirmūnai, Žirmūnų g., 3 kambarių butas",www.aruodas.lt/1-2992185,120500,66.79,73,2021-04-06,2021-04-06,0,3,4,5,1967,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Žirmūnai,1804.1622997454708
344," Šnipiškės, Žalgirio g., 2 kambarių butas",www.aruodas.lt/1-3015581,133000,46.31,49,2021-03-26,2021-03-28,0,2,3,4,2017,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Šnipiškės,2871.9499028287623
345," Pašilaičiai, Eitminų g., 2 kambarių butas",www.aruodas.lt/1-3003127,89000,50.0,34,2021-02-23,2021-03-26,0,2,8,9,2012,Mūrinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1780.0
346," Karoliniškės, Sausio 13-osios g., 3 kambarių butas",www.aruodas.lt/1-2991643,90000,63.6,31,2021-01-24,2021-03-22,0,3,3,9,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1415.0943396226414
347," Bajorai, Mokslininkų g., 2 kambarių butas",www.aruodas.lt/1-1079056,125000,61.0,21,2021-03-25,2021-04-07,0,2,1,2,2003,Mūrinis,"Elektra, dujinis, kita",Įrengtas,Sena statyba,Bajorai,2049.1803278688526
348," Viršuliškės, Viršuliškių g., 3 kambarių butas",www.aruodas.lt/1-3015075,89000,67.59,28,2021-03-24,2021-04-06,0,3,3,5,1992,Blokinis,Centrinis,Įrengtas,Sena statyba,Viršuliškės,1316.7628347388666
349," Šeškinė, Gelvonų g., 2 kambarių butas",www.aruodas.lt/1-3015043,75000,50.24,31,2021-03-24,2021-03-25,0,2,5,9,1982,Blokinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1492.8343949044586
350," Naujamiestis, Aludarių g., 2 kambarių butas",www.aruodas.lt/1-2971671,129600,50.9,52,2020-11-24,2021-01-22,1,2,1,6,2020,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2546.1689587426326
351," Grigiškės, Kovo 11-osios g., 3 kambarių butas",www.aruodas.lt/1-2991107,103900,73.38,6,2021-01-22,2021-03-09,0,3,1,5,1994,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1415.9171436358681
352," Senamiestis, Šaltinių g., 2 kambarių butas",www.aruodas.lt/1-2990899,128650,41.0,54,2021-01-21,2021-04-05,0,2,4,6,1976,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,3137.8048780487807
353," Senamiestis, Šv. Stepono g., 2 kambarių butas",www.aruodas.lt/1-2959753,110000,38.0,60,2020-10-23,2021-02-02,0,2,1,3,1940,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,2894.7368421052633
354," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3011791,83000,45.77,7,2021-03-22,2021-03-22,0,2,5,5,1967,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1813.414900589906
355," Žirmūnai, Verkių g., 2 kambarių butas",www.aruodas.lt/1-3013601,59900,44.19,51,2021-03-22,2021-04-05,0,2,2,5,1972,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1355.51029644716
356," Naujamiestis, Naugarduko g., 3 kambarių butas",www.aruodas.lt/1-3013535,110000,45.07,84,2021-03-21,2021-04-07,0,3,3,5,1961,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2440.647881073885
357," Pašilaičiai, Žemynos g., 2 kambarių butas",www.aruodas.lt/1-3013511,85500,51.92,8,2021-03-21,2021-03-22,0,2,8,9,1988,Monolitinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1646.764252696456
358," Vilkpėdė, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3014559,58000,43.37,14,2021-03-23,2021-04-06,1,2,1,6,1984,Monolitinis,Elektra,Dalinė apdaila ,Sena statyba,Vilkpėdė,1337.3299515794329
359," Pašilaičiai, Gabijos g., 3 kambarių butas",www.aruodas.lt/1-2989921,94000,67.0,48,2021-03-20,2021-03-20,0,3,4,5,1987,Blokinis,"Centrinis, elektra, kita",Įrengtas,Sena statyba,Pašilaičiai,1402.9850746268658
360," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3013387,94900,67.16,17,2021-03-20,2021-03-26,0,3,3,5,1986,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1413.0434782608697
361," Grigiškės, Šviesos g., 3 kambarių butas",www.aruodas.lt/1-2990089,89000,67.06,13,2021-01-19,2021-04-07,0,3,1,5,1992,Blokinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1327.1696987772143
362," Žemieji Paneriai, Vaduvos g., 2 kambarių butas",www.aruodas.lt/1-3013289,69000,35.66,28,2021-03-20,2021-04-01,0,2,2,5,1989,Blokinis,Centrinis,Įrengtas,Sena statyba,Žemieji Paneriai,1934.9411104879418
363," Pašilaičiai, Medeinos g., 3 kambarių butas",www.aruodas.lt/1-3013137,92800,62.0,39,2021-04-01,2021-04-06,0,3,4,9,1986,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1496.774193548387
364," Pašilaičiai, Medeinos g., 2 kambarių butas",www.aruodas.lt/1-3013125,72500,50.0,34,2021-03-19,2021-04-03,0,2,1,3,1987,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1450.0
365," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3012975,70000,44.48,27,2021-04-07,2021-04-07,0,2,5,5,1960,Blokinis,Centrinis,Kita,Sena statyba,Naujamiestis,1573.7410071942447
366," Antakalnis, Pylimėlių g., 2 kambarių butas",www.aruodas.lt/1-3000519,125000,58.0,45,2021-02-17,2021-02-17,0,2,3,3,2003,Mūrinis,"Centrinis kolektorinis, dujinis",Įrengtas,Sena statyba,Antakalnis,2155.1724137931033
367," Pilaitė, Tvankstos g., 2 kambarių butas",www.aruodas.lt/1-3000379,120000,42.44,20,2021-02-16,2021-02-23,0,2,3,4,2018,Blokinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,2827.5212064090483
368," Justiniškės, Laisvės pr., 3 kambarių butas",www.aruodas.lt/1-3012651,85900,54.75,15,2021-03-18,2021-04-02,0,3,3,5,1985,Monolitinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1568.9497716894978
369," Antakalnis, Antakalnio g., 3 kambarių butas",www.aruodas.lt/1-3012227,97000,54.3,8,2021-03-17,2021-04-07,1,3,1,5,1963,Mūrinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,1786.3720073664826
370," Antakalnis, Duburio g., 2 kambarių butas",www.aruodas.lt/1-3012127,71000,50.25,37,2021-03-17,2021-04-02,0,2,3,4,2020,Mūrinis,"Centrinis kolektorinis, dujinis",Dalinė apdaila ,Nauja statyba,Antakalnis,1412.9353233830846
371," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3015325,73000,54.03,10,2021-03-25,2021-04-06,1,2,5,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pašilaičiai,1351.101240051823
372," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3017543,72000,46.0,3,2021-03-31,2021-04-07,1,2,1,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1565.2173913043478
373," Pašilaičiai, Perkūnkiemio g., 2 kambarių butas",www.aruodas.lt/1-3011811,89000,40.16,6,2021-03-16,2021-03-16,0,2,7,9,2007,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,2216.135458167331
374," Pašilaičiai, Justiniškių g., 2 kambarių butas",www.aruodas.lt/1-3011801,110000,64.0,46,2021-03-20,2021-03-21,0,2,7,9,2012,Monolitinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1718.75
375," Naujamiestis, Geležinio Vilko g., 3 kambarių butas",www.aruodas.lt/1-3011769,139000,78.87,21,2021-03-16,2021-03-19,0,3,4,5,1958,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1762.3938126030175
376," Jeruzalė, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-2999575,106500,70.85,36,2021-02-14,2021-02-14,0,2,6,6,1999,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Jeruzalė,1503.1757233592098
377," Visoriai, Jono Kairiūkščio g., 2 kambarių butas",www.aruodas.lt/1-2988793,69900,52.0,47,2021-01-15,2021-03-29,0,2,5,5,1973,Mūrinis,Centrinis,Įrengtas,Sena statyba,Visoriai,1344.2307692307693
378," Jeruzalė, Rugių g., 2 kambarių butas",www.aruodas.lt/1-3011603,122000,57.0,10,2021-03-16,2021-03-17,0,2,1,5,2002,Mūrinis,Dujinis,Įrengtas,Sena statyba,Jeruzalė,2140.3508771929824
379," Žirmūnai, Jeronimo Ralio g., 2 kambarių butas",www.aruodas.lt/1-2988617,86900,31.0,90,2021-04-05,2021-04-06,0,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Žirmūnai,2803.2258064516127
380," Baltupiai, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-3010783,130000,57.19,32,2021-03-15,2021-04-06,0,2,11,16,2006,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Baltupiai,2273.12467214548
381," Jeruzalė, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-2883279,86750,56.42,48,2020-04-21,2021-02-02,0,2,1,5,1995,Mūrinis,Centrinis,Įrengtas,Sena statyba,Jeruzalė,1537.5753278979084
382," Naujininkai, Brolių g., 3 kambarių butas",www.aruodas.lt/1-3000355,110900,54.48,9,2021-02-16,2021-04-06,1,3,3,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujininkai,2035.6093979441998
383," Karoliniškės, Vido Maciulevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3014571,51300,40.25,20,2021-03-24,2021-04-06,1,2,3,3,1976,Mūrinis,Centrinis,Dalinė apdaila ,Sena statyba,Karoliniškės,1274.5341614906831
384," Naujamiestis, T. Ševčenkos g., 2 kambarių butas",www.aruodas.lt/1-2988049,103000,42.0,31,2021-01-13,2021-02-10,0,2,4,4,1963,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2452.3809523809523
385," Viršuliškės, Viršuliškių g., 2 kambarių butas",www.aruodas.lt/1-3016581,73900,49.15,25,2021-03-29,2021-04-01,1,2,3,9,1977,Blokinis,Centrinis,Įrengtas,Sena statyba,Viršuliškės,1503.560528992879
386," Justiniškės, Taikos g., 2 kambarių butas",www.aruodas.lt/1-3010509,73000,50.16,43,2021-04-06,2021-04-06,0,2,8,9,1983,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1455.3429027113239
387," Pašilaičiai, Perkūnkiemio g., 2 kambarių butas",www.aruodas.lt/1-3010423,120000,50.0,13,2021-03-13,2021-03-17,0,2,11,12,2017,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,2400.0
388," Naujamiestis, Naugarduko g., 2 kambarių butas",www.aruodas.lt/1-3018933,84999,40.0,11,2021-04-05,2021-04-07,1,2,1,3,1940,Mūrinis,Dujinis,Įrengtas,Sena statyba,Naujamiestis,2124.975
389," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-3005205,92000,63.0,22,2021-04-06,2021-04-06,1,3,1,5,1968,Blokinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1460.3174603174602
390," Antakalnis, P. Vileišio g., 2 kambarių butas",www.aruodas.lt/1-2987125,84000,45.0,122,2021-01-11,2021-03-23,0,2,5,5,1963,Blokinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,1866.6666666666667
391," Senamiestis, Subačiaus g., 2 kambarių butas",www.aruodas.lt/1-3013759,107000,33.0,8,2021-03-22,2021-04-06,1,2,2,3,1940,Mūrinis,Dujinis,Įrengtas,Sena statyba,Senamiestis,3242.4242424242425
392," Fabijoniškės, S. Stanevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3013655,85000,51.0,20,2021-03-22,2021-04-06,1,2,5,9,1989,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1666.6666666666667
393," Karoliniškės, Vido Maciulevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3017999,48925,44.3,22,2021-04-01,2021-04-07,1,2,3,3,1976,Mūrinis,Centrinis,Dalinė apdaila ,Sena statyba,Karoliniškės,1104.4018058690745
394," Žemieji Paneriai, Titnago g., 2 kambarių butas",www.aruodas.lt/1-3008765,58500,44.23,25,2021-03-09,2021-04-07,1,2,5,5,2019,Kita,Elektra,Dalinė apdaila ,Nauja statyba,Žemieji Paneriai,1322.631697942573
395," Naujininkai, Brolių g., 3 kambarių butas",www.aruodas.lt/1-3018023,108900,56.26,6,2021-04-01,2021-04-07,1,3,3,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujininkai,1935.655883398507
396," Žirmūnai, Žirmūnų g., 2 kambarių butas",www.aruodas.lt/1-3017033,126800,45.0,12,2021-03-30,2021-04-06,1,2,2,9,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Žirmūnai,2817.777777777778
397," Baltupiai, Jurgio Lebedžio g., 2 kambarių butas",www.aruodas.lt/1-2986873,130000,46.0,31,2021-01-10,2021-02-22,0,2,1,5,2018,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Baltupiai,2826.086956521739
398," Fabijoniškės, P. Žadeikos g., 2 kambarių butas",www.aruodas.lt/1-3009835,120000,67.24,24,2021-03-11,2021-03-21,0,2,4,7,2004,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Fabijoniškės,1784.6519928613923
399," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3018655,69000,44.15,28,2021-04-03,2021-04-07,1,2,2,5,1964,Blokinis,Centrinis,Neįrengtas     ,Sena statyba,Naujamiestis,1562.853907134768
400," Senamiestis, Aušros Vartų g., 2 kambarių butas",www.aruodas.lt/1-3018445,115000,39.4,21,2021-04-02,2021-04-02,1,2,2,3,1940,Mūrinis,Elektra,Įrengtas,Sena statyba,Senamiestis,2918.781725888325
401," Šeškinė, Musninkų g., 3 kambarių butas",www.aruodas.lt/1-3003941,92999,67.05,28,2021-04-05,2021-04-05,1,3,4,5,1980,Blokinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1387.0096942580165
402," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3019989,87000,67.0,8,2021-04-07,2021-04-07,1,3,5,9,1983,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1298.5074626865671
403," Naujininkai, Darbininkų g., 3 kambarių butas",www.aruodas.lt/1-3017081,84000,67.0,13,2021-03-30,2021-04-06,1,3,2,12,1978,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1253.7313432835822
404," Šiaurės miestelis, V. Nagevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3018977,115000,54.11,30,2021-04-05,2021-04-05,1,2,5,5,2003,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Šiaurės miestelis,2125.300314174829
405," Bajorai, Bajorų kel., 2 kambarių butas",www.aruodas.lt/1-3018653,82000,33.63,29,2021-04-03,2021-04-06,1,2,1,4,2015,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Bajorai,2438.299137674695
406," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-3008601,96500,67.43,27,2021-03-08,2021-04-07,1,3,3,5,1983,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1431.1137475900932
407," Pilaitė, Gilužio g., 3 kambarių butas",www.aruodas.lt/1-2994967,128000,74.03,11,2021-02-01,2021-04-07,1,3,7,9,2005,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pilaitė,1729.028772119411
408," Justiniškės, Taikos g., 2 kambarių butas",www.aruodas.lt/1-3018055,70000,51.0,27,2021-04-01,2021-04-07,1,2,5,9,1983,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1372.549019607843
409," Žirmūnai, Tuskulėnų g., 3 kambarių butas",www.aruodas.lt/1-3009653,128000,68.0,37,2021-03-11,2021-04-05,0,3,2,5,1967,Mūrinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1882.3529411764705
410," Naujininkai, Kaminkelio g., 2 kambarių butas",www.aruodas.lt/1-3018107,75700,36.89,4,2021-04-06,2021-04-06,1,2,1,3,2021,Mūrinis,Aeroterminis,Dalinė apdaila ,Nauja statyba,Naujininkai,2052.0466251016537
411," Užupis, Polocko g., 2 kambarių butas",www.aruodas.lt/1-2997603,132000,31.0,48,2021-02-08,2021-02-08,0,2,1,5,2020,Mūrinis,Centrinis,Įrengtas,Nauja statyba,Užupis,4258.064516129032
412," Pilaitė, Karaliaučiaus g., 2 kambarių butas",www.aruodas.lt/1-3009575,68500,52.85,20,2021-03-10,2021-03-12,0,2,6,7,1995,Monolitinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1296.1210974456008
413," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3020091,85000,54.94,6,2021-04-07,2021-04-07,1,2,2,9,1977,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1547.1423370950129
414," Baltupiai, Jurgio Lebedžio g., 2 kambarių butas",www.aruodas.lt/1-3019585,120000,45.25,1,2021-04-06,2021-04-06,1,2,2,5,2017,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Baltupiai,2651.9337016574586
415," Baltupiai, Kazio Ulvydo g., 2 kambarių butas",www.aruodas.lt/1-3018125,111000,40.0,11,2021-04-01,2021-04-06,1,2,1,5,2015,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Baltupiai,2775.0
416," Naujininkai, Kaminkelio g., 3 kambarių butas",www.aruodas.lt/1-3018113,111777,60.42,2,2021-04-07,2021-04-07,1,3,0,3,2021,Mūrinis,Aeroterminis,Dalinė apdaila ,Nauja statyba,Naujininkai,1850.0
417," Verkiai, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-2998465,102245,46.42,27,2021-02-10,2021-04-07,1,3,1,5,2021,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Verkiai,2202.60663507109
418," Žirmūnai, Verkių g., 2 kambarių butas",www.aruodas.lt/1-3019921,101300,39.82,3,2021-04-07,2021-04-07,1,2,7,9,2020,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Žirmūnai,2543.94776494224
419," Baltupiai, Visorių g., 2 kambarių butas",www.aruodas.lt/1-3018071,99500,39.1,14,2021-04-01,2021-04-07,1,2,1,6,2018,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Baltupiai,2544.757033248082
420," Žirmūnai, Verkių g., 2 kambarių butas",www.aruodas.lt/1-3013007,129034,49.21,10,2021-03-19,2021-04-07,1,2,9,9,2020,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Žirmūnai,2622.109327372485
